code,name,year,price,dividend,dividend_yield
600010,包钢股份,2020,1.33,0.12,9.13
600016,民生银行,2020,6.36,0.37,5.82
601328,交通银行,2020,5.68,0.32,5.55
601988,中国银行,2020,3.72,0.19,5.13
600048,保利地产,2020,16.26,0.82,5.04
601288,农业银行,2020,3.73,0.18,4.88
600019,宝钢股份,2020,5.8,0.28,4.83
600000,浦发银行,2020,12.47,0.6,4.81
601398,工商银行,2020,5.97,0.26,4.4
600027,华电国际,2020,3.7,0.15,3.95
000069,华侨城A,2020,7.78,0.3,3.91
601166,兴业银行,2020,20.21,0.76,3.77
600028,中国石化,2020,5.17,0.19,3.68
000538,云南白药,2020,89.31,3.0,3.36
600015,华夏银行,2020,7.7,0.25,3.23
000002,万科A,2020,32.56,1.02,3.12
600036,招商银行,2020,38.88,1.2,3.09
000157,中联重科,2020,6.87,0.21,3.06
000333,美的集团,2020,59.75,1.6,2.68
600018,上港集团,2020,5.85,0.15,2.48
600003,ST东北高,2020,48.37,1.18,2.43
600008,首创股份,2020,3.33,0.08,2.4
600011,华能国际,2020,5.64,0.13,2.39
600031,三一重工,2020,17.95,0.42,2.34
000100,TCL科技,2020,4.57,0.1,2.19
601628,中国人寿,2020,34.95,0.73,2.09
600030,中信证券,2020,25.49,0.5,1.96
000568,泸州老窖,2020,85.45,1.59,1.86
000651,格力电器,2020,67.9,1.2,1.77
000858,五粮液,2020,132.08,2.21,1.67
