code,name,year,price,dividend,dividend_yield
000938,紫光股份,2023,96.12,9.53,9.91
600004,白云机场,2023,32.04,3.08,9.6
000069,华侨城A,2023,187.03,14.33,7.66
600009,上海机场,2023,145.82,11.04,7.57
600011,华能国际,2023,30.35,1.38,4.55
601288,农业银行,2023,5.46,0.22,4.07
601328,交通银行,2023,10.69,0.37,3.49
601988,中国银行,2023,6.87,0.23,3.38
601398,工商银行,2023,9.04,0.3,3.36
601857,中国石油,2023,7.68,0.22,2.86
600027,华电国际,2023,10.2,0.2,1.96
600015,华夏银行,2023,20.55,0.38,1.86
600028,中国石化,2023,13.49,0.2,1.45
601166,兴业银行,2023,83.97,1.18,1.41
601318,中国平安,2023,127.51,1.5,1.18
688001,华兴源创,2023,27.98,0.3,1.07
601628,中国人寿,2023,46.98,0.49,1.04
000100,TCL科技,2023,10.05,0.1,1.0
600036,招商银行,2023,175.42,1.74,0.99
000333,美的集团,2023,253.06,2.51,0.99
600026,中远海能,2023,17.18,0.15,0.87
688003,天准科技,2023,34.4,0.3,0.87
600033,福建高速,2023,18.39,0.15,0.82
688006,杭可科技,2023,46.06,0.35,0.76
600019,宝钢股份,2023,14.02,0.1,0.71
600008,首创股份,2023,19.53,0.13,0.67
600050,中国联通,2023,6.5,0.04,0.66
600010,包钢股份,2023,13.98,0.09,0.66
600030,中信证券,2023,90.9,0.49,0.54
000725,京东方A,2023,12.73,0.06,0.48
