code,name,year,price,dividend,dividend_yield
000001,平安银行,2024,9.21,0.72,7.81
000651,格力电器,2024,32.03,2.38,7.43
600036,招商银行,2024,27.58,1.97,7.15
601166,兴业银行,2024,14.83,1.04,7.01
600015,华夏银行,2024,5.7,0.38,6.74
601328,交通银行,2024,5.78,0.38,6.49
601398,工商银行,2024,4.79,0.31,6.4
601288,农业银行,2024,3.66,0.23,6.31
601988,中国银行,2024,4.01,0.24,5.9
600010,包钢股份,2024,1.45,0.08,5.82
600016,民生银行,2024,3.76,0.22,5.74
000333,美的集团,2024,54.56,3.0,5.5
000069,华侨城A,2024,3.03,0.15,4.92
600000,浦发银行,2024,6.6,0.32,4.86
000157,中联重科,2024,6.63,0.32,4.83
000066,中国长城,2024,10.01,0.48,4.79
600048,保利地产,2024,9.43,0.41,4.35
000538,云南白药,2024,49.32,2.08,4.21
601318,中国平安,2024,39.47,1.5,3.8
600033,福建高速,2024,3.17,0.12,3.79
600008,首创股份,2024,2.72,0.1,3.68
600028,中国石化,2024,5.62,0.2,3.56
600018,上港集团,2024,4.98,0.17,3.45
000858,五粮液,2024,136.0,4.66,3.43
600019,宝钢股份,2024,6.01,0.2,3.33
601857,中国石油,2024,7.14,0.23,3.22
000568,泸州老窖,2024,172.87,5.39,3.12
600027,华电国际,2024,5.33,0.15,2.81
600026,中远海能,2024,12.79,0.35,2.74
000063,中兴通讯,2024,25.6,0.68,2.67
